name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
BHAKKAR,DISTRICT,NON-RELATIVE,SEPARATION,6,39,0,3,33,0,3,6,0
BHAKKAR,DISTRICT,NON-RELATIVE,WIDOWED,61,114,0,41,96,0,20,18,0
BHAKKAR,DISTRICT,OTHER RELATIVE,DIVORCED,216,48,0,176,38,0,40,10,0
BHAKKAR,DISTRICT,OTHER RELATIVE,MARRIED,2668,2169,0,2081,1700,0,587,469,0
BHAKKAR,DISTRICT,OTHER RELATIVE,NEVER MARRIED,2105,2413,3,1639,1857,2,466,556,1
BHAKKAR,DISTRICT,OTHER RELATIVE,SEPARATION,104,39,0,90,36,0,14,3,0
BHAKKAR,DISTRICT,OTHER RELATIVE,WIDOWED,1486,440,0,1163,360,0,323,80,0
BHAKKAR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,DIVORCED,20,4,0,16,2,0,4,2,0
BHAKKAR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,MARRIED,17007,479,0,13495,382,0,3512,97,0
BHAKKAR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,NEVER MARRIED,388,109,0,314,92,0,74,17,0
BHAKKAR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,SEPARATION,6,1,0,5,1,0,1,0,0
BHAKKAR,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,WIDOWED,775,10,0,610,7,0,165,3,0
BHAKKAR,DISTRICT,SON/DAUGHTER,DIVORCED,1093,359,0,879,279,0,214,80,0
BHAKKAR,DISTRICT,SON/DAUGHTER,MARRIED,4155,55348,0,3360,45086,0,795,10262,0
BHAKKAR,DISTRICT,SON/DAUGHTER,NEVER MARRIED,113058,152839,12,89772,122620,9,23286,30219,3
BHAKKAR,DISTRICT,SON/DAUGHTER,SEPARATION,370,192,0,317,164,0,53,28,0
BHAKKAR,DISTRICT,SON/DAUGHTER,WIDOWED,475,367,0,370,304,0,105,63,0
BHAKKAR,DISTRICT,SPOUSE,DIVORCED,0,0,,0,0,,0,0,
