name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,URBAN,HOMELESS,,,,,,0
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,URBAN,TOTAL,,,,,,100
SWABI,SWABI,DISTRICT,OVERALL,REGULAR,1888886,955685,933166,35,278976,99.98
SWABI,SWABI,DISTRICT,OVERALL,INSTITUTIONAL,1333,1258,75,,52,.02
SWABI,SWABI,DISTRICT,OVERALL,HOMELESS,11,9,2,,7,0
SWABI,SWABI,DISTRICT,OVERALL,TOTAL,1890230,956952,933243,35,279035,100
SWABI,SWABI,DISTRICT,RURAL,REGULAR,1549675,784454,765202,19,229655,99.98
SWABI,SWABI,DISTRICT,RURAL,INSTITUTIONAL,1205,1130,75,,43,.02
SWABI,SWABI,DISTRICT,RURAL,HOMELESS,10,8,2,,6,0
SWABI,SWABI,DISTRICT,RURAL,TOTAL,1550890,785592,765279,19,229704,100
SWABI,SWABI,DISTRICT,URBAN,REGULAR,339211,171231,167964,16,49321,99.98
SWABI,SWABI,DISTRICT,URBAN,INSTITUTIONAL,128,128,,,9,.02
SWABI,SWABI,DISTRICT,URBAN,HOMELESS,1,1,,,1,0
SWABI,SWABI,DISTRICT,URBAN,TOTAL,339340,171360,167964,16,49331,100
SWAT,SWAT,DISTRICT,OVERALL,REGULAR,2685397,1374191,1311119,87,381213,99.98999999999999
SWAT,SWAT,DISTRICT,OVERALL,INSTITUTIONAL,670,535,135,,28,.01
SWAT,SWAT,DISTRICT,OVERALL,HOMELESS,9,6,3,,5,0
SWAT,SWAT,DISTRICT,OVERALL,TOTAL,2686076,1374732,1311257,87,381246,100
SWAT,SWAT,DISTRICT,RURAL,REGULAR,1892492,964518,927946,28,263159,99.98999999999999
SWAT,SWAT,DISTRICT,RURAL,INSTITUTIONAL,173,136,37,,11,0
SWAT,SWAT,DISTRICT,RURAL,HOMELESS,5,3,2,,3,0
SWAT,SWAT,DISTRICT,RURAL,TOTAL,1892670,964657,927985,28,263173,100
SWAT,SWAT,DISTRICT,URBAN,REGULAR,792905,409673,383173,59,118054,99.98
SWAT,SWAT,DISTRICT,URBAN,INSTITUTIONAL,497,399,98,,17,.01
SWAT,SWAT,DISTRICT,URBAN,HOMELESS,4,3,1,,2,0
SWAT,SWAT,DISTRICT,URBAN,TOTAL,793406,410075,383272,59,118073,100
TANK,TANK,DISTRICT,OVERALL,REGULAR,457723,232279,225443,1,70563,99.81
TANK,TANK,DISTRICT,OVERALL,INSTITUTIONAL,12550,9292,3258,,126,.18
TANK,TANK,DISTRICT,OVERALL,HOMELESS,20,18,2,,5,.01
TANK,TANK,DISTRICT,OVERALL,TOTAL,470293,241589,228703,1,70694,100
TANK,TANK,DISTRICT,RURAL,REGULAR,410765,208082,202682,1,63302,99.81999999999999
TANK,TANK,DISTRICT,RURAL,INSTITUTIONAL,10353,7456,2897,,112,.18
TANK,TANK,DISTRICT,RURAL,HOMELESS,3,3,,,3,0
TANK,TANK,DISTRICT,RURAL,TOTAL,421121,215541,205579,1,63417,100
TANK,TANK,DISTRICT,URBAN,REGULAR,46958,24197,22761,,7261,99.78
TANK,TANK,DISTRICT,URBAN,INSTITUTIONAL,2197,1836,361,,14,.19
TANK,TANK,DISTRICT,URBAN,HOMELESS,17,15,2,,2,.03
TANK,TANK,DISTRICT,URBAN,TOTAL,49172,26048,23124,,7277,100
TORGHAR,TORGHAR,DISTRICT,OVERALL,REGULAR,200359,102076,98279,4,29410,99.98
TORGHAR,TORGHAR,DISTRICT,OVERALL,INSTITUTIONAL,83,82,1,,6,.02
TORGHAR,TORGHAR,DISTRICT,OVERALL,HOMELESS,3,2,1,,1,0
TORGHAR,TORGHAR,DISTRICT,OVERALL,TOTAL,200445,102160,98281,4,29417,100
TORGHAR,TORGHAR,DISTRICT,RURAL,REGULAR,200359,102076,98279,4,29410,99.98
TORGHAR,TORGHAR,DISTRICT,RURAL,INSTITUTIONAL,83,82,1,,6,.02
TORGHAR,TORGHAR,DISTRICT,RURAL,HOMELESS,3,2,1,,1,0
TORGHAR,TORGHAR,DISTRICT,RURAL,TOTAL,200445,102160,98281,4,29417,100
TORGHAR,TORGHAR,DISTRICT,URBAN,REGULAR,,,,,,0
TORGHAR,TORGHAR,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
TORGHAR,TORGHAR,DISTRICT,URBAN,HOMELESS,,,,,,0
TORGHAR,TORGHAR,DISTRICT,URBAN,TOTAL,,,,,,100
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,OVERALL,REGULAR,195148,100306,94842,,26365,99.98999999999999
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,OVERALL,INSTITUTIONAL,13,13,,,3,.01
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,OVERALL,HOMELESS,,,,,,0
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,OVERALL,TOTAL,195161,100319,94842,,26368,100
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,RURAL,REGULAR,195148,100306,94842,,26365,99.98999999999999
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,RURAL,INSTITUTIONAL,13,13,,,3,.01
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,RURAL,HOMELESS,,,,,,0
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,RURAL,TOTAL,195161,100319,94842,,26368,100
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,URBAN,REGULAR,,,,,,0
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,URBAN,HOMELESS,,,,,,0
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,URBAN,TOTAL,,,,,,100
UPPER DIR,UPPER DIR,DISTRICT,OVERALL,REGULAR,1082254,536624,545618,12,149536,99.98999999999999
UPPER DIR,UPPER DIR,DISTRICT,OVERALL,INSTITUTIONAL,146,105,41,,17,.01
UPPER DIR,UPPER DIR,DISTRICT,OVERALL,HOMELESS,16,10,6,,4,0
UPPER DIR,UPPER DIR,DISTRICT,OVERALL,TOTAL,1082416,536739,545665,12,149557,100
UPPER DIR,UPPER DIR,DISTRICT,RURAL,REGULAR,1035430,512804,522615,11,142928,99.98999999999999
UPPER DIR,UPPER DIR,DISTRICT,RURAL,INSTITUTIONAL,132,99,33,,15,.01
UPPER DIR,UPPER DIR,DISTRICT,RURAL,HOMELESS,16,10,6,,4,0
UPPER DIR,UPPER DIR,DISTRICT,RURAL,TOTAL,1035578,512913,522654,11,142947,100
UPPER DIR,UPPER DIR,DISTRICT,URBAN,REGULAR,46824,23820,23003,1,6608,99.97
UPPER DIR,UPPER DIR,DISTRICT,URBAN,INSTITUTIONAL,14,6,8,,2,.03
UPPER DIR,UPPER DIR,DISTRICT,URBAN,HOMELESS,,,,,,0
UPPER DIR,UPPER DIR,DISTRICT,URBAN,TOTAL,46838,23826,23011,1,6610,100
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,OVERALL,REGULAR,374126,192744,181378,4,71529,99.98
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,OVERALL,INSTITUTIONAL,32,17,15,,5,.01
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,OVERALL,HOMELESS,25,15,10,,9,.01
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,OVERALL,TOTAL,374183,192776,181403,4,71543,100
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,RURAL,REGULAR,374126,192744,181378,4,71529,99.98
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,RURAL,INSTITUTIONAL,32,17,15,,5,.01
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,RURAL,HOMELESS,25,15,10,,9,.01
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,RURAL,TOTAL,374183,192776,181403,4,71543,100
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,URBAN,REGULAR,,,,,,0
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,URBAN,INSTITUTIONAL,,,,,,0
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,URBAN,HOMELESS,,,,,,0
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,URBAN,TOTAL,,,,,,100
