name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
LASBELA,LASBELA,DISTRICT,Seeing,10706,5634,5072,5731,2995,2736,4975,2639,2336
LASBELA,LASBELA,DISTRICT,Hearing,12178,6389,5789,6282,3253,3029,5896,3136,2760
LASBELA,LASBELA,DISTRICT,Walking/ Climbing,16258,8579,7679,8532,4467,4065,7726,4112,3614
LASBELA,LASBELA,DISTRICT,Communication,5206,2852,2354,2562,1413,1149,2644,1439,1205
LASBELA,LASBELA,DISTRICT,Memorization/ Focus,7932,4235,3697,4132,2194,1938,3800,2041,1759
LASBELA,LASBELA,DISTRICT,Self care etc,5570,2872,2698,2969,1534,1435,2601,1338,1263
LORALAI,LORALAI,DISTRICT,Population,269364,141318,128046,211978,111359,100619,57386,29959,27427
LORALAI,LORALAI,DISTRICT,Disability,5201,2989,2212,4494,2567,1927,707,422,285
LORALAI,LORALAI,DISTRICT,Functional limitation,19033,10765,8268,15121,8538,6583,3912,2227,1685
LORALAI,LORALAI,DISTRICT,Seeing,3796,2142,1654,2995,1688,1307,801,454,347
LORALAI,LORALAI,DISTRICT,Hearing,3986,2262,1724,3175,1794,1381,811,468,343
LORALAI,LORALAI,DISTRICT,Walking/ Climbing,6374,3585,2789,5017,2823,2194,1357,762,595
LORALAI,LORALAI,DISTRICT,Communication,1870,1090,780,1537,894,643,333,196,137
LORALAI,LORALAI,DISTRICT,Memorization/ Focus,2886,1634,1252,2300,1304,996,586,330,256
LORALAI,LORALAI,DISTRICT,Self care etc,2018,1132,886,1631,910,721,387,222,165
MASTUNG,MASTUNG,DISTRICT,Population,312378,166254,146124,272115,144949,127166,40263,21305,18958
MASTUNG,MASTUNG,DISTRICT,Disability,4912,2263,2649,4550,2133,2417,362,130,232
MASTUNG,MASTUNG,DISTRICT,Functional limitation,19810,9115,10695,16972,7857,9115,2838,1258,1580
MASTUNG,MASTUNG,DISTRICT,Seeing,3921,1869,2052,3360,1605,1755,561,264,297
MASTUNG,MASTUNG,DISTRICT,Hearing,4175,1914,2261,3539,1625,1914,636,289,347
MASTUNG,MASTUNG,DISTRICT,Walking/ Climbing,6567,3082,3485,5671,2674,2997,896,408,488
MASTUNG,MASTUNG,DISTRICT,Communication,1812,875,937,1587,768,819,225,107,118
MASTUNG,MASTUNG,DISTRICT,Memorization/ Focus,2834,1311,1523,2455,1136,1319,379,175,204
MASTUNG,MASTUNG,DISTRICT,Self care etc,2121,927,1194,1817,802,1015,304,125,179
MUSAKHEL,MUSAKHEL,DISTRICT,Population,182275,96709,85566,166470,88208,78262,15805,8501,7304
MUSAKHEL,MUSAKHEL,DISTRICT,Disability,4432,2292,2140,4320,2242,2078,112,50,62
MUSAKHEL,MUSAKHEL,DISTRICT,Functional limitation,13224,7021,6203,12524,6667,5857,700,354,346
MUSAKHEL,MUSAKHEL,DISTRICT,Seeing,2392,1281,1111,2249,1206,1043,143,75,68
MUSAKHEL,MUSAKHEL,DISTRICT,Hearing,2594,1386,1208,2462,1320,1142,132,66,66
MUSAKHEL,MUSAKHEL,DISTRICT,Walking/ Climbing,4367,2307,2060,4079,2157,1922,288,150,138
MUSAKHEL,MUSAKHEL,DISTRICT,Communication,1238,661,577,1191,638,553,47,23,24
MUSAKHEL,MUSAKHEL,DISTRICT,Memorization/ Focus,1832,980,852,1745,935,810,87,45,42
MUSAKHEL,MUSAKHEL,DISTRICT,Self care etc,1534,799,735,1472,771,701,62,28,34
NASIRABAD,NASIRABAD,DISTRICT,Population,563315,287920,275395,456363,234486,221877,106952,53434,53518
NASIRABAD,NASIRABAD,DISTRICT,Disability,5420,3088,2332,4894,2767,2127,526,321,205
NASIRABAD,NASIRABAD,DISTRICT,Functional limitation,19131,10327,8804,15987,8633,7354,3144,1694,1450
NASIRABAD,NASIRABAD,DISTRICT,Seeing,3634,1945,1689,2970,1591,1379,664,354,310
NASIRABAD,NASIRABAD,DISTRICT,Hearing,4124,2217,1907,3376,1814,1562,748,403,345
NASIRABAD,NASIRABAD,DISTRICT,Walking/ Climbing,6117,3335,2782,5040,2744,2296,1077,591,486
NASIRABAD,NASIRABAD,DISTRICT,Communication,2227,1258,969,1846,1035,811,381,223,158
NASIRABAD,NASIRABAD,DISTRICT,Memorization/ Focus,2931,1588,1343,2437,1316,1121,494,272,222
NASIRABAD,NASIRABAD,DISTRICT,Self care etc,2063,1103,960,1774,951,823,289,152,137
NUSHKI,NUSHKI,DISTRICT,Population,207200,107972,99228,159096,82725,76371,48104,25247,22857
NUSHKI,NUSHKI,DISTRICT,Disability,2024,1165,859,1753,996,757,271,169,102
NUSHKI,NUSHKI,DISTRICT,Functional limitation,8944,4809,4135,7007,3787,3220,1937,1022,915
NUSHKI,NUSHKI,DISTRICT,Seeing,1688,914,774,1334,724,610,354,190,164
NUSHKI,NUSHKI,DISTRICT,Hearing,1979,1063,916,1536,830,706,443,233,210
NUSHKI,NUSHKI,DISTRICT,Walking/ Climbing,2773,1532,1241,2160,1202,958,613,330,283
NUSHKI,NUSHKI,DISTRICT,Communication,1017,587,430,830,475,355,187,112,75
NUSHKI,NUSHKI,DISTRICT,Memorization/ Focus,1354,739,615,1071,582,489,283,157,126
NUSHKI,NUSHKI,DISTRICT,Self care etc,917,476,441,734,384,350,183,92,91
PANJGUR,PANJGUR,DISTRICT,Population,509781,269467,240314,352088,184594,167494,157693,84873,72820
PANJGUR,PANJGUR,DISTRICT,Disability,14849,6926,7923,10211,4781,5430,4638,2145,2493
PANJGUR,PANJGUR,DISTRICT,Functional limitation,43850,21081,22769,29252,13986,15266,14598,7095,7503
PANJGUR,PANJGUR,DISTRICT,Seeing,7665,3748,3917,5240,2566,2674,2425,1182,1243
PANJGUR,PANJGUR,DISTRICT,Hearing,8680,4207,4473,5810,2790,3020,2870,1417,1453
PANJGUR,PANJGUR,DISTRICT,Walking/ Climbing,13393,6409,6984,9009,4285,4724,4384,2124,2260
PANJGUR,PANJGUR,DISTRICT,Communication,4101,1978,2123,2782,1346,1436,1319,632,687
PANJGUR,PANJGUR,DISTRICT,Memorization/ Focus,5952,2884,3068,4007,1935,2072,1945,949,996
PANJGUR,PANJGUR,DISTRICT,Self care etc,5494,2622,2872,3628,1723,1905,1866,899,967
PISHIN,PISHIN,DISTRICT,Population,835482,426620,408862,591697,302369,289328,243785,124251,119534
PISHIN,PISHIN,DISTRICT,Disability,15492,8543,6949,12018,6499,5519,3474,2044,1430
PISHIN,PISHIN,DISTRICT,Functional limitation,51413,27970,23443,36366,19613,16753,15047,8357,6690
PISHIN,PISHIN,DISTRICT,Seeing,10178,5613,4565,7466,4106,3360,2712,1507,1205
PISHIN,PISHIN,DISTRICT,Hearing,10301,5672,4629,7171,3938,3233,3130,1734,1396
PISHIN,PISHIN,DISTRICT,Walking/ Climbing,16750,9080,7670,11819,6346,5473,4931,2734,2197
PISHIN,PISHIN,DISTRICT,Communication,4738,2700,2038,3366,1870,1496,1372,830,542
PISHIN,PISHIN,DISTRICT,Memorization/ Focus,7231,4018,3213,5168,2862,2306,2063,1156,907
PISHIN,PISHIN,DISTRICT,Self care etc,5658,3035,2623,4076,2159,1917,1582,876,706
QUETTA,QUETTA,DISTRICT,Population,2271290,1164359,1106931,979434,502199,477235,1291856,662160,629696
QUETTA,QUETTA,DISTRICT,Disability,56744,31456,25288,30121,16899,13222,26623,14557,12066
QUETTA,QUETTA,DISTRICT,Functional limitation,195130,102970,92160,86380,46080,40300,108750,56890,51860
QUETTA,QUETTA,DISTRICT,Seeing,34862,18520,16342,14980,8030,6950,19882,10490,9392
QUETTA,QUETTA,DISTRICT,Hearing,40205,21175,19030,17734,9553,8181,22471,11622,10849
QUETTA,QUETTA,DISTRICT,Walking/ Climbing,60210,32103,28107,25102,13645,11457,35108,18458,16650
QUETTA,QUETTA,DISTRICT,Communication,19338,10569,8769,9450,5084,4366,9888,5485,4403
QUETTA,QUETTA,DISTRICT,Memorization/ Focus,28455,15281,13174,12813,6890,5923,15642,8391,7251
QUETTA,QUETTA,DISTRICT,Self care etc,23171,12151,11020,10421,5508,4913,12750,6643,6107
SHERANI,SHERANI,DISTRICT,Population,191673,105344,86329,191673,105344,86329,,,
SHERANI,SHERANI,DISTRICT,Disability,2026,1532,494,2026,1532,494,,,
SHERANI,SHERANI,DISTRICT,Functional limitation,6774,4966,1808,6774,4966,1808,,,
SHERANI,SHERANI,DISTRICT,Seeing,1503,1062,441,1503,1062,441,,,
SHERANI,SHERANI,DISTRICT,Hearing,1340,974,366,1340,974,366,,,
SHERANI,SHERANI,DISTRICT,Walking/ Climbing,2268,1611,657,2268,1611,657,,,
SHERANI,SHERANI,DISTRICT,Communication,685,493,192,685,493,192,,,
SHERANI,SHERANI,DISTRICT,Memorization/ Focus,935,687,248,935,687,248,,,
SHERANI,SHERANI,DISTRICT,Self care etc,647,512,135,647,512,135,,,
SIBI,SIBI,DISTRICT,Population,224148,115038,109110,154848,79944,74904,69300,35094,34206
SIBI,SIBI,DISTRICT,Disability,6558,4188,2370,4632,2916,1716,1926,1272,654
SIBI,SIBI,DISTRICT,Functional limitation,18020,9652,8368,11374,6124,5250,6646,3528,3118
SIBI,SIBI,DISTRICT,Seeing,3314,1709,1605,2153,1111,1042,1161,598,563
SIBI,SIBI,DISTRICT,Hearing,3560,1829,1731,2188,1131,1057,1372,698,674
SIBI,SIBI,DISTRICT,Walking/ Climbing,5993,3277,2716,3827,2098,1729,2166,1179,987
SIBI,SIBI,DISTRICT,Communication,1841,1042,799,1203,679,524,638,363,275
SIBI,SIBI,DISTRICT,Memorization/ Focus,2602,1407,1195,1626,876,750,976,531,445
SIBI,SIBI,DISTRICT,Self care etc,2117,1162,955,1333,735,598,784,427,357
SOHBATPUR,SOHBATPUR,DISTRICT,Population,240106,121865,118241,225378,114381,110997,14728,7484,7244
SOHBATPUR,SOHBATPUR,DISTRICT,Disability,4888,3026,1862,4705,2919,1786,183,107,76
