name_admin_unit,part_of_district,admin_unit,age_group,nationality,overall_all_sexes,rural_all_sexes,urban_all_sexes,overall_female,rural_female,urban_female,overall_male,rural_male,urban_male,overall_tgend,rural_tgend,urban_tgend
BAHAWALPUR,BAHAWALPUR,DISTRICT,15 - 19,BENGALI,1,1,,,,,1,1,,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,15 - 19,CHINESE,2,1,1,2,1,1,,,,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,15 - 19,OTHERS,318,239,79,165,127,38,153,112,41,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,15 - 19,PAKISTANI,413574,251460,162114,203658,124804,78854,209863,126637,83226,53,19,34
BAHAWALPUR,BAHAWALPUR,DISTRICT,20 - 24,AFGHANI,82,47,35,52,34,18,30,13,17,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,20 - 24,BENGALI,1,,1,,,,1,,1,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,20 - 24,CHINESE,1,1,,1,1,,,,,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,20 - 24,OTHERS,376,278,98,239,168,71,137,110,27,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,20 - 24,PAKISTANI,357379,208485,148894,178561,103631,74930,178732,104838,73894,86,16,70
BAHAWALPUR,BAHAWALPUR,DISTRICT,25 - 29,AFGHANI,91,49,42,54,31,23,37,18,19,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,25 - 29,BENGALI,3,3,,,,,3,3,,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,25 - 29,CHINESE,5,4,1,1,1,,4,3,1,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,25 - 29,OTHERS,356,274,82,211,163,48,145,111,34,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,25 - 29,PAKISTANI,309019,185190,123829,155615,92400,63215,153318,92775,60543,86,15,71
BAHAWALPUR,BAHAWALPUR,DISTRICT,30 - 34,AFGHANI,84,39,45,42,22,20,42,17,25,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,30 - 34,BENGALI,2,2,,2,2,,,,,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,30 - 34,CHINESE,2,1,1,2,1,1,,,,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,30 - 34,OTHERS,282,213,69,197,146,51,85,67,18,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,30 - 34,PAKISTANI,274821,166619,108202,141078,85143,55935,133689,81463,52226,54,13,41
BAHAWALPUR,BAHAWALPUR,DISTRICT,35 - 39,AFGHANI,79,47,32,41,24,17,38,23,15,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,35 - 39,BENGALI,3,2,1,3,2,1,,,,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,35 - 39,CHINESE,1,1,,,,,1,1,,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,35 - 39,OTHERS,270,204,66,169,130,39,101,74,27,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,35 - 39,PAKISTANI,251909,150510,101399,124337,74825,49512,127512,75669,51843,60,16,44
BAHAWALPUR,BAHAWALPUR,DISTRICT,40 - 44,AFGHANI,57,37,20,33,22,11,24,15,9,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,40 - 44,BENGALI,3,3,,1,1,,2,2,,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,40 - 44,CHINESE,1,1,,1,1,,,,,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,40 - 44,OTHERS,308,230,78,178,129,49,130,101,29,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,40 - 44,PAKISTANI,228729,142636,86093,110350,68833,41517,118344,73789,44555,35,14,21
BAHAWALPUR,BAHAWALPUR,DISTRICT,45 - 49,AFGHANI,46,31,15,30,19,11,16,12,4,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,45 - 49,BENGALI,5,3,2,5,3,2,,,,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,45 - 49,CHINESE,1,,1,1,,1,,,,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,45 - 49,OTHERS,209,161,48,120,93,27,89,68,21,,,
BAHAWALPUR,BAHAWALPUR,DISTRICT,45 - 49,PAKISTANI,174255,105689,68566,83628,51154,32474,90596,54520,36076,31,15,16
