name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
MIANWALI,MIANWALI,DISTRICT,Memorization/ Focus,44176,24169,20007,35621,19501,16120,8555,4668,3887
MIANWALI,MIANWALI,DISTRICT,Self care etc,34768,18853,15915,27787,15031,12756,6981,3822,3159
MULTAN,MULTAN,DISTRICT,Population,5340762,2720684,2620078,2859260,1450947,1408313,2481502,1269737,1211765
MULTAN,MULTAN,DISTRICT,Disability,151125,82262,68863,90480,48588,41892,60645,33674,26971
MULTAN,MULTAN,DISTRICT,Functional limitation,535148,277591,257557,289445,148525,140920,245703,129066,116637
MULTAN,MULTAN,DISTRICT,Seeing,99718,51919,47799,54361,27970,26391,45357,23949,21408
MULTAN,MULTAN,DISTRICT,Hearing,111168,57581,53587,60171,30800,29371,50997,26781,24216
MULTAN,MULTAN,DISTRICT,Walking/ Climbing,172293,91117,81176,92065,48565,43500,80228,42552,37676
MULTAN,MULTAN,DISTRICT,Communication,59072,31939,27133,33938,18425,15513,25134,13514,11620
MULTAN,MULTAN,DISTRICT,Memorization/ Focus,81223,42884,38339,43955,22892,21063,37268,19992,17276
MULTAN,MULTAN,DISTRICT,Self care etc,58548,29756,28792,31534,15569,15965,27014,14187,12827
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Population,5012124,2545452,2466672,4066845,2066352,2000493,945279,479100,466179
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Disability,178440,94212,84228,141662,75105,66557,36778,19107,17671
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Functional limitation,541984,287513,254471,431998,229467,202531,109986,58046,51940
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Seeing,97206,51759,45447,76135,40614,35521,21071,11145,9926
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Hearing,110632,59107,51525,88187,47231,40956,22445,11876,10569
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Walking/ Climbing,173505,92947,80558,138991,74247,64744,34514,18700,15814
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Communication,58381,31738,26643,46793,25437,21356,11588,6301,5287
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Memorization/ Focus,81224,43271,37953,65345,35227,30118,15879,8044,7835
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,Self care etc,62487,32618,29869,50371,26344,24027,12116,6274,5842
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Population,1634871,832012,802859,1311483,669616,641867,323388,162396,160992
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Disability,37175,21731,15444,30625,18077,12548,6550,3654,2896
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Functional limitation,136656,70122,66534,110241,56885,53356,26415,13237,13178
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Seeing,25783,13225,12558,20974,10747,10227,4809,2478,2331
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Hearing,30191,15267,14924,24524,12476,12048,5667,2791,2876
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Walking/ Climbing,42511,22422,20089,34416,18305,16111,8095,4117,3978
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Communication,16098,8791,7307,12478,6733,5745,3620,2058,1562
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Memorization/ Focus,21508,11271,10237,16779,8831,7948,4729,2440,2289
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,Self care etc,15273,7759,7514,12320,6380,5940,2953,1379,1574
NAROWAL,NAROWAL,DISTRICT,Population,1950769,996442,954327,1601749,818925,782824,349020,177517,171503
NAROWAL,NAROWAL,DISTRICT,Disability,59839,35244,24595,47791,27835,19956,12048,7409,4639
NAROWAL,NAROWAL,DISTRICT,Functional limitation,191981,103576,88405,155090,83242,71848,36891,20334,16557
NAROWAL,NAROWAL,DISTRICT,Seeing,36206,19394,16812,29869,16000,13869,6337,3394,2943
NAROWAL,NAROWAL,DISTRICT,Hearing,39067,20933,18134,31883,17068,14815,7184,3865,3319
NAROWAL,NAROWAL,DISTRICT,Walking/ Climbing,62673,34436,28237,50684,27751,22933,11989,6685,5304
