name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
PESHAWAR,DISTRICT,PESHAWAR,RURAL,"2,000 -- 4,999",56,181697,91499,90193,5,Rural Localities
PESHAWAR,DISTRICT,PESHAWAR,RURAL,"1,000 -- 1,999",39,58411,28918,29493,,Rural Localities
PESHAWAR,DISTRICT,PESHAWAR,RURAL,500 -- 999,26,19143,9468,9675,,Rural Localities
PESHAWAR,DISTRICT,PESHAWAR,RURAL,200 -- 499,14,5407,2744,2663,,Rural Localities
PESHAWAR,DISTRICT,PESHAWAR,RURAL,LESS THAN 200,3,373,192,181,,Rural Localities
PESHAWAR,DISTRICT,PESHAWAR,RURAL,UN-INHABITED,,,,,,Rural Localities
SHANGLA,DISTRICT,SHANGLA,RURAL,OVERALL,111,891252,459965,431281,6,Rural Localities
SHANGLA,DISTRICT,SHANGLA,RURAL,"5,000 AND ABOVE",71,774010,399931,374074,5,Rural Localities
SHANGLA,DISTRICT,SHANGLA,RURAL,"2,000 -- 4,999",28,100170,51346,48824,,Rural Localities
SHANGLA,DISTRICT,SHANGLA,RURAL,"1,000 -- 1,999",11,16472,8381,8090,1,Rural Localities
SHANGLA,DISTRICT,SHANGLA,RURAL,500 -- 999,1,600,307,293,,Rural Localities
SHANGLA,DISTRICT,SHANGLA,RURAL,200 -- 499,,,,,,Rural Localities
SHANGLA,DISTRICT,SHANGLA,RURAL,LESS THAN 200,,,,,,Rural Localities
SHANGLA,DISTRICT,SHANGLA,RURAL,UN-INHABITED,,,,,,Rural Localities
SOUTH WAZIRISTAN,DISTRICT,SOUTH WAZIRISTAN,RURAL,OVERALL,475,888675,459531,429130,14,Rural Localities
SOUTH WAZIRISTAN,DISTRICT,SOUTH WAZIRISTAN,RURAL,"5,000 AND ABOVE",32,311010,160648,150358,4,Rural Localities
SOUTH WAZIRISTAN,DISTRICT,SOUTH WAZIRISTAN,RURAL,"2,000 -- 4,999",86,257647,132640,125003,4,Rural Localities
SOUTH WAZIRISTAN,DISTRICT,SOUTH WAZIRISTAN,RURAL,"1,000 -- 1,999",141,193994,100938,93054,2,Rural Localities
SOUTH WAZIRISTAN,DISTRICT,SOUTH WAZIRISTAN,RURAL,500 -- 999,134,99401,51503,47894,4,Rural Localities
SOUTH WAZIRISTAN,DISTRICT,SOUTH WAZIRISTAN,RURAL,200 -- 499,72,25267,13032,12235,,Rural Localities
SOUTH WAZIRISTAN,DISTRICT,SOUTH WAZIRISTAN,RURAL,LESS THAN 200,10,1356,770,586,,Rural Localities
SOUTH WAZIRISTAN,DISTRICT,SOUTH WAZIRISTAN,RURAL,UN-INHABITED,,,,,,Rural Localities
SWABI,DISTRICT,SWABI,RURAL,OVERALL,150,1554930,787528,767383,19,Rural Localities
SWABI,DISTRICT,SWABI,RURAL,"5,000 AND ABOVE",80,1402673,710635,692020,18,Rural Localities
SWABI,DISTRICT,SWABI,RURAL,"2,000 -- 4,999",32,115070,58391,56678,1,Rural Localities
SWABI,DISTRICT,SWABI,RURAL,"1,000 -- 1,999",19,27772,13772,14000,,Rural Localities
SWABI,DISTRICT,SWABI,RURAL,500 -- 999,10,7351,3716,3635,,Rural Localities
SWABI,DISTRICT,SWABI,RURAL,200 -- 499,5,1760,870,890,,Rural Localities
SWABI,DISTRICT,SWABI,RURAL,LESS THAN 200,3,304,144,160,,Rural Localities
SWABI,DISTRICT,SWABI,RURAL,UN-INHABITED,1,,,,,Rural Localities
SWAT,DISTRICT,SWAT,RURAL,OVERALL,185,1893016,964822,928166,28,Rural Localities
SWAT,DISTRICT,SWAT,RURAL,"5,000 AND ABOVE",133,1722479,877361,845092,26,Rural Localities
SWAT,DISTRICT,SWAT,RURAL,"2,000 -- 4,999",44,157890,80795,77093,2,Rural Localities
SWAT,DISTRICT,SWAT,RURAL,"1,000 -- 1,999",8,12647,6666,5981,,Rural Localities
SWAT,DISTRICT,SWAT,RURAL,500 -- 999,,,,,,Rural Localities
SWAT,DISTRICT,SWAT,RURAL,200 -- 499,,,,,,Rural Localities
SWAT,DISTRICT,SWAT,RURAL,LESS THAN 200,,,,,,Rural Localities
SWAT,DISTRICT,SWAT,RURAL,UN-INHABITED,,,,,,Rural Localities
TANK,DISTRICT,TANK,RURAL,OVERALL,100,421121,215541,205579,1,Rural Localities
TANK,DISTRICT,TANK,RURAL,"5,000 AND ABOVE",28,302466,154630,147835,1,Rural Localities
TANK,DISTRICT,TANK,RURAL,"2,000 -- 4,999",23,77408,40097,37311,,Rural Localities
