name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,OVERALL,13649,17,,4,11911,1330,148,63,176
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,RURAL,13649,17,,4,11911,1330,148,63,176
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,URBAN,,,,,,,,,
PATTAN,LOWER KOHISTAN,SUB-DIVISION,OVERALL,12441,4,1,,10646,1279,169,114,228
PATTAN,LOWER KOHISTAN,SUB-DIVISION,RURAL,12441,4,1,,10646,1279,169,114,228
PATTAN,LOWER KOHISTAN,SUB-DIVISION,URBAN,,,,,,,,,
MALAKAND,MALAKAND,DISTRICT,OVERALL,130397,18,14,24,105862,17589,2424,55,4411
MALAKAND,MALAKAND,DISTRICT,RURAL,119028,15,7,10,96962,15842,2032,48,4112
MALAKAND,MALAKAND,DISTRICT,URBAN,11369,3,7,14,8900,1747,392,7,299
SAM RANI ZAI,MALAKAND,SUB-DIVISION,OVERALL,56645,7,3,4,46662,7110,682,31,2146
SAM RANI ZAI,MALAKAND,SUB-DIVISION,RURAL,56645,7,3,4,46662,7110,682,31,2146
SAM RANI ZAI,MALAKAND,SUB-DIVISION,URBAN,,,,,,,,,
SWAT RANI ZAI,MALAKAND,SUB-DIVISION,OVERALL,73752,11,11,20,59200,10479,1742,24,2265
SWAT RANI ZAI,MALAKAND,SUB-DIVISION,RURAL,62383,8,4,6,50300,8732,1350,17,1966
SWAT RANI ZAI,MALAKAND,SUB-DIVISION,URBAN,11369,3,7,14,8900,1747,392,7,299
MANSEHRA,MANSEHRA,DISTRICT,OVERALL,330734,129,74,72,262653,46572,5911,385,14942
MANSEHRA,MANSEHRA,DISTRICT,RURAL,304169,99,40,37,242657,42056,4965,361,13958
MANSEHRA,MANSEHRA,DISTRICT,URBAN,26565,30,34,35,19996,4516,946,24,984
BAFFA PAKHAL,MANSEHRA,TEHSIL,OVERALL,81443,35,6,17,64924,10983,2107,85,3287
BAFFA PAKHAL,MANSEHRA,TEHSIL,RURAL,78210,34,6,17,62494,10466,1922,83,3189
BAFFA PAKHAL,MANSEHRA,TEHSIL,URBAN,3233,1,,,2430,517,185,2,98
BALAKOT,MANSEHRA,TEHSIL,OVERALL,67877,10,26,7,54665,9296,692,56,3126
BALAKOT,MANSEHRA,TEHSIL,RURAL,67877,10,26,7,54665,9296,692,56,3126
BALAKOT,MANSEHRA,TEHSIL,URBAN,,,,,,,,,
DARBAND,MANSEHRA,TEHSIL,OVERALL,9968,,,,8575,1087,50,6,250
DARBAND,MANSEHRA,TEHSIL,RURAL,9968,,,,8575,1087,50,6,250
DARBAND,MANSEHRA,TEHSIL,URBAN,,,,,,,,,
MANSEHRA,MANSEHRA,TEHSIL,OVERALL,128197,76,39,45,100480,18540,2362,233,6424
MANSEHRA,MANSEHRA,TEHSIL,RURAL,104865,47,5,10,82914,14541,1601,211,5538
MANSEHRA,MANSEHRA,TEHSIL,URBAN,23332,29,34,35,17566,3999,761,22,886
OGHI,MANSEHRA,TEHSIL,OVERALL,43249,8,3,3,34009,6666,700,5,1855
OGHI,MANSEHRA,TEHSIL,RURAL,43249,8,3,3,34009,6666,700,5,1855
OGHI,MANSEHRA,TEHSIL,URBAN,,,,,,,,,
MARDAN,MARDAN,DISTRICT,OVERALL,419087,49,25,37,346683,52458,7108,348,12389
MARDAN,MARDAN,DISTRICT,RURAL,345221,21,10,10,288079,41415,5355,285,10056
MARDAN,MARDAN,DISTRICT,URBAN,73866,28,15,27,58604,11043,1753,63,2333
