name_admin_unit,admin_unit,relation_to_hh_head,marital_status,female_overall,male_overall,tgend_overall,female_rural,male_rural,tgend_rural,female_urban,male_urban,tgend_urban
CHAGAI,DISTRICT,FATHER/MOTHER,WIDOWED,1120,52,,932,48,,188,4,
CHAGAI,DISTRICT,GRAND FATHER/GRAND MOTHER,DIVORCED,0,0,,0,0,,0,0,
CHAGAI,DISTRICT,GRAND FATHER/GRAND MOTHER,MARRIED,31,25,,26,22,,5,3,
CHAGAI,DISTRICT,GRAND FATHER/GRAND MOTHER,NEVER MARRIED,1,0,,0,0,,1,0,
CHAGAI,DISTRICT,GRAND FATHER/GRAND MOTHER,SEPARATION,0,0,,0,0,,0,0,
CHAGAI,DISTRICT,GRAND FATHER/GRAND MOTHER,WIDOWED,37,3,,35,3,,2,0,
CHAGAI,DISTRICT,GRAND SON/GRAND DAUGHTER,DIVORCED,0,0,0,0,0,0,0,0,0
CHAGAI,DISTRICT,GRAND SON/GRAND DAUGHTER,MARRIED,14,20,0,13,15,0,1,5,0
CHAGAI,DISTRICT,GRAND SON/GRAND DAUGHTER,NEVER MARRIED,139,204,0,114,179,0,25,25,0
CHAGAI,DISTRICT,GRAND SON/GRAND DAUGHTER,SEPARATION,0,0,0,0,0,0,0,0,0
CHAGAI,DISTRICT,GRAND SON/GRAND DAUGHTER,WIDOWED,1,0,0,1,0,0,0,0,0
CHAGAI,DISTRICT,HEAD,DIVORCED,6,11,0,5,7,0,1,4,0
CHAGAI,DISTRICT,HEAD,MARRIED,449,35517,0,413,33198,0,36,2319,0
CHAGAI,DISTRICT,HEAD,NEVER MARRIED,21,966,0,16,859,0,5,107,0
CHAGAI,DISTRICT,HEAD,SEPARATION,7,13,0,7,11,0,0,2,0
CHAGAI,DISTRICT,HEAD,WIDOWED,893,304,0,825,274,0,68,30,0
CHAGAI,DISTRICT,NEPHEW/NIECE,DIVORCED,0,0,0,0,0,0,0,0,0
CHAGAI,DISTRICT,NEPHEW/NIECE,MARRIED,39,110,0,36,102,0,3,8,0
CHAGAI,DISTRICT,NEPHEW/NIECE,NEVER MARRIED,269,456,0,216,410,0,53,46,0
CHAGAI,DISTRICT,NEPHEW/NIECE,SEPARATION,0,0,0,0,0,0,0,0,0
CHAGAI,DISTRICT,NEPHEW/NIECE,WIDOWED,1,0,0,1,0,0,0,0,0
CHAGAI,DISTRICT,NON-RELATIVE,DIVORCED,1,0,0,1,0,0,0,0,0
CHAGAI,DISTRICT,NON-RELATIVE,MARRIED,58,374,0,57,352,0,1,22,0
CHAGAI,DISTRICT,NON-RELATIVE,NEVER MARRIED,79,635,0,78,616,0,1,19,0
CHAGAI,DISTRICT,NON-RELATIVE,SEPARATION,0,0,0,0,0,0,0,0,0
CHAGAI,DISTRICT,NON-RELATIVE,WIDOWED,2,7,0,2,6,0,0,1,0
CHAGAI,DISTRICT,OTHER RELATIVE,DIVORCED,3,4,0,3,2,0,0,2,0
CHAGAI,DISTRICT,OTHER RELATIVE,MARRIED,442,913,0,395,846,0,47,67,0
CHAGAI,DISTRICT,OTHER RELATIVE,NEVER MARRIED,428,1318,0,397,1264,0,31,54,0
CHAGAI,DISTRICT,OTHER RELATIVE,SEPARATION,1,2,0,1,1,0,0,1,0
CHAGAI,DISTRICT,OTHER RELATIVE,WIDOWED,77,15,0,65,15,0,12,0,0
CHAGAI,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,DIVORCED,0,0,0,0,0,0,0,0,0
CHAGAI,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,MARRIED,565,39,0,469,33,0,96,6,0
CHAGAI,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,NEVER MARRIED,67,31,0,64,28,0,3,3,0
CHAGAI,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,SEPARATION,0,0,0,0,0,0,0,0,0
CHAGAI,DISTRICT,SISTER IN-LAW/BROTHER IN-LAW,WIDOWED,19,1,0,16,1,0,3,0,0
CHAGAI,DISTRICT,SON/DAUGHTER,DIVORCED,38,11,0,35,9,0,3,2,0
CHAGAI,DISTRICT,SON/DAUGHTER,MARRIED,1049,1928,0,930,1660,0,119,268,0
CHAGAI,DISTRICT,SON/DAUGHTER,NEVER MARRIED,14989,19770,4,13358,17908,4,1631,1862,0
CHAGAI,DISTRICT,SON/DAUGHTER,SEPARATION,4,3,0,4,3,0,0,0,0
CHAGAI,DISTRICT,SON/DAUGHTER,WIDOWED,93,22,0,78,20,0,15,2,0
CHAGAI,DISTRICT,SPOUSE,DIVORCED,0,0,,0,0,,0,0,
CHAGAI,DISTRICT,SPOUSE,MARRIED,36097,204,,33812,175,,2285,29,
CHAGAI,DISTRICT,SPOUSE,NEVER MARRIED,1,0,,1,0,,0,0,
CHAGAI,DISTRICT,SPOUSE,SEPARATION,0,0,,0,0,,0,0,
CHAGAI,DISTRICT,SPOUSE,WIDOWED,0,0,,0,0,,0,0,
CHAMAN,DISTRICT,BROTHER/SISTER,DIVORCED,1,0,0,0,0,0,1,0,0
CHAMAN,DISTRICT,BROTHER/SISTER,MARRIED,187,2374,0,150,1820,0,37,554,0
CHAMAN,DISTRICT,BROTHER/SISTER,NEVER MARRIED,1372,2795,1,884,1912,1,488,883,0
CHAMAN,DISTRICT,BROTHER/SISTER,SEPARATION,2,0,0,1,0,0,1,0,0
CHAMAN,DISTRICT,BROTHER/SISTER,WIDOWED,24,4,0,15,2,0,9,2,0
CHAMAN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,DIVORCED,0,0,,0,0,,0,0,
CHAMAN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,MARRIED,3373,135,,2522,103,,851,32,
CHAMAN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,NEVER MARRIED,0,0,,0,0,,0,0,
CHAMAN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,SEPARATION,0,0,,0,0,,0,0,
CHAMAN,DISTRICT,DAUGHTER IN-LAW/SON IN-LAW,WIDOWED,15,1,,10,1,,5,0,
CHAMAN,DISTRICT,FATHER/MOTHER,DIVORCED,1,0,,0,0,,1,0,
CHAMAN,DISTRICT,FATHER/MOTHER,MARRIED,1210,321,,872,222,,338,99,
CHAMAN,DISTRICT,FATHER/MOTHER,NEVER MARRIED,0,0,,0,0,,0,0,
