name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
PIND DADAN KHAN,JHELUM,TEHSIL,RURAL,52234,50804,721,709,3664,4067,43812,691,43241,4783
PIND DADAN KHAN,JHELUM,TEHSIL,URBAN,11365,11137,130,98,9284,340,1605,136,9623,635
SOHAWA,JHELUM,TEHSIL,OVERALL,38034,37430,343,261,634,8486,28725,189,34561,2160
SOHAWA,JHELUM,TEHSIL,RURAL,27892,27444,256,192,601,4374,22850,67,25109,1775
SOHAWA,JHELUM,TEHSIL,URBAN,10142,9986,87,69,33,4112,5875,122,9452,385
KASUR,KASUR,DISTRICT,OVERALL,645308,632923,5001,7384,171732,25556,387429,60591,322158,230003
KASUR,KASUR,DISTRICT,RURAL,443044,433881,3515,5648,50282,11079,329533,52150,195411,185158
KASUR,KASUR,DISTRICT,URBAN,202264,199042,1486,1736,121450,14477,57896,8441,126747,44845
CHUNIAN,KASUR,TEHSIL,OVERALL,158898,155785,1292,1821,36193,3086,107067,12552,73550,61327
CHUNIAN,KASUR,TEHSIL,RURAL,124649,122051,1059,1539,14942,1448,96402,11857,52321,53568
CHUNIAN,KASUR,TEHSIL,URBAN,34249,33734,233,282,21251,1638,10665,695,21229,7759
KASUR,KASUR,TEHSIL,OVERALL,253446,249573,1800,2073,72830,13539,139319,27758,128483,88329
KASUR,KASUR,TEHSIL,RURAL,138105,135770,1002,1333,6131,3480,106717,21777,58609,61765
KASUR,KASUR,TEHSIL,URBAN,115341,113803,798,740,66699,10059,32602,5981,69874,26564
KOT RADHA KISHAN,KASUR,TEHSIL,OVERALL,61054,60197,347,510,10200,1746,41310,7798,34749,19950
KOT RADHA KISHAN,KASUR,TEHSIL,RURAL,45584,44984,216,384,1559,933,35742,7350,22793,17633
KOT RADHA KISHAN,KASUR,TEHSIL,URBAN,15470,15213,131,126,8641,813,5568,448,11956,2317
PATTOKI,KASUR,TEHSIL,OVERALL,171910,167368,1562,2980,52509,7185,99733,12483,85376,60397
PATTOKI,KASUR,TEHSIL,RURAL,134706,131076,1238,2392,27650,5218,90672,11166,61688,52192
PATTOKI,KASUR,TEHSIL,URBAN,37204,36292,324,588,24859,1967,9061,1317,23688,8205
KHANEWAL,KHANEWAL,DISTRICT,OVERALL,526196,505318,4355,16523,127058,11552,376727,10859,263552,213637
KHANEWAL,KHANEWAL,DISTRICT,RURAL,410319,391588,3548,15183,50160,3433,347399,9327,182665,189209
KHANEWAL,KHANEWAL,DISTRICT,URBAN,115877,113730,807,1340,76898,8119,29328,1532,80887,24428
JAHANIAN,KHANEWAL,TEHSIL,OVERALL,61153,59688,411,1054,19642,974,39809,728,31782,24056
JAHANIAN,KHANEWAL,TEHSIL,RURAL,52940,51698,352,890,13248,586,38615,491,25530,22849
JAHANIAN,KHANEWAL,TEHSIL,URBAN,8213,7990,59,164,6394,388,1194,237,6252,1207
KABIRWALA,KHANEWAL,TEHSIL,OVERALL,167410,158653,1700,7057,37684,1616,125368,2742,77959,72100
