name_admin_unit,part_of_district,admin_unit,region,type_of_housing_units,all_sexes,male,female,tgend,housing_units_total,housing_units_pct
SIBI,SIBI,DISTRICT,RURAL,INSTITUTIONAL,2,1,1,,1,.01
SIBI,SIBI,DISTRICT,RURAL,HOMELESS,112,87,25,,5,.03
SIBI,SIBI,DISTRICT,RURAL,TOTAL,154848,79939,74904,5,19777,100
SIBI,SIBI,DISTRICT,URBAN,REGULAR,69299,35093,34206,,11525,99.98999999999999
SIBI,SIBI,DISTRICT,URBAN,INSTITUTIONAL,1,1,,,1,.01
SIBI,SIBI,DISTRICT,URBAN,HOMELESS,,,,,,0
SIBI,SIBI,DISTRICT,URBAN,TOTAL,69300,35094,34206,,11526,100
KOT MANDAI,SIBI,SUB-TEHSIL,OVERALL,REGULAR,9745,5132,4613,,1275,99.92
KOT MANDAI,SIBI,SUB-TEHSIL,OVERALL,INSTITUTIONAL,,,,,,0
KOT MANDAI,SIBI,SUB-TEHSIL,OVERALL,HOMELESS,3,1,2,,1,.08
KOT MANDAI,SIBI,SUB-TEHSIL,OVERALL,TOTAL,9748,5133,4615,,1276,100
KOT MANDAI,SIBI,SUB-TEHSIL,RURAL,REGULAR,9745,5132,4613,,1275,99.92
KOT MANDAI,SIBI,SUB-TEHSIL,RURAL,INSTITUTIONAL,,,,,,0
KOT MANDAI,SIBI,SUB-TEHSIL,RURAL,HOMELESS,3,1,2,,1,.08
KOT MANDAI,SIBI,SUB-TEHSIL,RURAL,TOTAL,9748,5133,4615,,1276,100
KOT MANDAI,SIBI,SUB-TEHSIL,URBAN,REGULAR,,,,,,0
KOT MANDAI,SIBI,SUB-TEHSIL,URBAN,INSTITUTIONAL,,,,,,0
KOT MANDAI,SIBI,SUB-TEHSIL,URBAN,HOMELESS,,,,,,0
KOT MANDAI,SIBI,SUB-TEHSIL,URBAN,TOTAL,,,,,,100
LEHRI,SIBI,SUB-DIVISION,OVERALL,REGULAR,53997,27491,26504,2,7598,99.98999999999999
