name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
WAZIR,SUB-DIVISION,BANNU,RURAL,,37262,19398,17864,,108.59,,,6.9,43112,-2.41
WAZIR,SUB-DIVISION,BANNU,URBAN,,,,,,,,,,,
BATAGRAM,DISTRICT,BATAGRAM,OVERALL,1301,554133,281298,272825,10,103.11,425.93,0,6.4,476749,2.55
BATAGRAM,DISTRICT,BATAGRAM,RURAL,,554133,281298,272825,10,103.11,,,6.4,476749,2.55
BATAGRAM,DISTRICT,BATAGRAM,URBAN,,,,,,0,,,,,0
AI,TEHSIL,BATAGRAM,OVERALL,804,218149,112255,105889,5,106.01,271.33,,6.2,180502,3.22
AI,TEHSIL,BATAGRAM,RURAL,,218149,112255,105889,5,106.01,,,6.2,180502,3.22
AI,TEHSIL,BATAGRAM,URBAN,,,,,,,,,,,
BATAGRAM,TEHSIL,BATAGRAM,OVERALL,497,335984,169043,166936,5,101.26,676.02,,6.5,296247,2.13
BATAGRAM,TEHSIL,BATAGRAM,RURAL,,335984,169043,166936,5,101.26,,,6.5,296247,2.13
BATAGRAM,TEHSIL,BATAGRAM,URBAN,,,,,,,,,,,
BUNER,DISTRICT,BUNER,OVERALL,1865,1016869,508172,508669,28,99.90000000000001,545.24,0,8.5,895460,2.15
BUNER,DISTRICT,BUNER,RURAL,,1016869,508172,508669,28,99.90000000000001,,,8.5,895460,2.15
BUNER,DISTRICT,BUNER,URBAN,,,,,,0,,,,,0
CHAGHARZAI,TEHSIL,BUNER,OVERALL,218,125949,62900,63045,4,99.77,577.75,,8.699999999999999,109291,2.4
CHAGHARZAI,TEHSIL,BUNER,RURAL,,125949,62900,63045,4,99.77,,,8.699999999999999,109291,2.4
CHAGHARZAI,TEHSIL,BUNER,URBAN,,,,,,,,,,,
DAGGAR,TEHSIL,BUNER,OVERALL,290,192776,95437,97338,1,98.05,664.74,,9,176049,1.53
DAGGAR,TEHSIL,BUNER,RURAL,,192776,95437,97338,1,98.05,,,9,176049,1.53
DAGGAR,TEHSIL,BUNER,URBAN,,,,,,,,,,,
GADEZAI,TEHSIL,BUNER,OVERALL,472,197466,97693,99772,1,97.92,418.36,,9.199999999999999,178760,1.68
GADEZAI,TEHSIL,BUNER,RURAL,,197466,97693,99772,1,97.92,,,9.199999999999999,178760,1.68
GADEZAI,TEHSIL,BUNER,URBAN,,,,,,,,,,,
GAGRA,TEHSIL,BUNER,OVERALL,217,179087,89906,89160,21,100.84,825.29,,9.199999999999999,160680,1.83
GAGRA,TEHSIL,BUNER,RURAL,,179087,89906,89160,21,100.84,,,9.199999999999999,160680,1.83
GAGRA,TEHSIL,BUNER,URBAN,,,,,,,,,,,
