name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
DHADAR,SUB-DIVISION,KACHHI,URBAN,,17276,8536,8740,,97.67,,,6.1,15240,2.12
KHATTAN,SUB-TEHSIL,KACHHI,OVERALL,277,22900,11789,11111,,106.1,82.67,,8.4,14213,8.300000000000001
KHATTAN,SUB-TEHSIL,KACHHI,RURAL,,22900,11789,11111,,106.1,,,8.4,14213,8.300000000000001
KHATTAN,SUB-TEHSIL,KACHHI,URBAN,,,,,,,,,,,
MACH,SUB-DIVISION,KACHHI,OVERALL,708,75272,39910,35355,7,112.88,106.32,59.17,13.2,39629,11.32
MACH,SUB-DIVISION,KACHHI,RURAL,,30730,16326,14403,1,113.35,,,9,20489,7.01
MACH,SUB-DIVISION,KACHHI,URBAN,,44542,23584,20952,6,112.56,,,19.2,19140,15.16
SANNI,SUB-DIVISION,KACHHI,OVERALL,2011,150821,81439,69362,20,117.41,75,,13,96901,7.67
SANNI,SUB-DIVISION,KACHHI,RURAL,,150821,81439,69362,20,117.41,,,13,96901,7.67
SANNI,SUB-DIVISION,KACHHI,URBAN,,,,,,,,,,,
KALAT,DISTRICT,KALAT,OVERALL,7654,271560,138611,132942,7,104.26,35.48,16.36,8.199999999999999,203565,4.93
KALAT,DISTRICT,KALAT,RURAL,,227120,115646,111468,6,103.75,,,8.1,166769,5.3
KALAT,DISTRICT,KALAT,URBAN,,44440,22965,21474,1,106.94,,,8.5,36796,3.2
GAZG,SUB-TEHSIL,KALAT,OVERALL,1390,8286,4505,3778,3,119.24,5.96,,6.5,5721,6.39
GAZG,SUB-TEHSIL,KALAT,RURAL,,8286,4505,3778,3,119.24,,,6.5,5721,6.39
GAZG,SUB-TEHSIL,KALAT,URBAN,,,,,,,,,,,
JOHAN,SUB-TEHSIL,KALAT,OVERALL,1328,15731,8010,7721,,103.74,11.85,,6.3,10708,6.64
JOHAN,SUB-TEHSIL,KALAT,RURAL,,15731,8010,7721,,103.74,,,6.3,10708,6.64
JOHAN,SUB-TEHSIL,KALAT,URBAN,,,,,,,,,,,
KALAT,SUB-DIVISION,KALAT,OVERALL,3788,167405,85526,81876,3,104.46,44.19,26.55,8.300000000000001,121458,5.51
KALAT,SUB-DIVISION,KALAT,RURAL,,122965,62561,60402,2,103.57,,,8.199999999999999,84662,6.44
KALAT,SUB-DIVISION,KALAT,URBAN,,44440,22965,21474,1,106.94,,,8.5,36796,3.2
MANGOCHAR,SUB-DIVISION,KALAT,OVERALL,1148,80138,40570,39567,1,102.53,69.81,,8.6,65678,3.38
MANGOCHAR,SUB-DIVISION,KALAT,RURAL,,80138,40570,39567,1,102.53,,,8.6,65678,3.38
MANGOCHAR,SUB-DIVISION,KALAT,URBAN,,,,,,,,,,,
KECH,DISTRICT,KECH,OVERALL,22539,1060931,555219,505589,123,109.82,47.07,36.44,4.1,907182,2.65
KECH,DISTRICT,KECH,RURAL,,674285,349807,324432,46,107.82,,,4.1,605162,1.82
KECH,DISTRICT,KECH,URBAN,,386646,205412,181157,77,113.39,,,4.3,302020,4.21
BALNIGORE,SUB-TEHSIL,KECH,OVERALL,1238,50404,26075,24328,1,107.18,40.71,,3.5,44595,2.07
BALNIGORE,SUB-TEHSIL,KECH,RURAL,,50404,26075,24328,1,107.18,,,3.5,44595,2.07
BALNIGORE,SUB-TEHSIL,KECH,URBAN,,,,,,,,,,,
BULAIDA,SUB-DIVISION,KECH,OVERALL,1997,107847,57364,50429,54,113.75,54,63.75,4.4,77148,5.76
BULAIDA,SUB-DIVISION,KECH,RURAL,,39095,21411,17682,2,121.09,,,4.3,37302,.79
BULAIDA,SUB-DIVISION,KECH,URBAN,,68752,35953,32747,52,109.79,,,4.5,39846,9.539999999999999
DASHT,SUB-DIVISION,KECH,OVERALL,2486,90080,45971,44093,16,104.26,36.23,,4.2,76470,2.78
DASHT,SUB-DIVISION,KECH,RURAL,,90080,45971,44093,16,104.26,,,4.2,76470,2.78
DASHT,SUB-DIVISION,KECH,URBAN,,,,,,,,,,,
HOSHAB,SUB-TEHSIL,KECH,OVERALL,2213,66566,34946,31615,5,110.54,30.08,,3.9,52947,3.9
HOSHAB,SUB-TEHSIL,KECH,RURAL,,66566,34946,31615,5,110.54,,,3.9,52947,3.9
HOSHAB,SUB-TEHSIL,KECH,URBAN,,,,,,,,,,,
MAND,TEHSIL,KECH,OVERALL,1456,56772,30125,26644,3,113.06,38.99,,3.4,50995,1.81
MAND,TEHSIL,KECH,RURAL,,56772,30125,26644,3,113.06,,,3.4,50995,1.81
MAND,TEHSIL,KECH,URBAN,,,,,,,,,,,
