name_admin_unit,part_of_district,admin_unit,region,all_structures,high_rise_res,high_rise_econ,high_rise_res_econ,normal_res,normal_econ,normal_res_econ,other_jughi,other_under_constr
SHAH FAISAL,KORANGI,SUB-DIVISION,URBAN,50146,1616,8,336,41951,1722,3515,114,884
LARKANA,LARKANA,DISTRICT,OVERALL,255475,72,10,53,204105,32811,6508,7675,4241
LARKANA,LARKANA,DISTRICT,RURAL,136483,3,1,6,110783,15728,1397,6599,1966
LARKANA,LARKANA,DISTRICT,URBAN,118992,69,9,47,93322,17083,5111,1076,2275
BAKRANI,LARKANA,TALUKA,OVERALL,38549,2,,,31084,4257,407,2422,377
BAKRANI,LARKANA,TALUKA,RURAL,32574,2,,,26722,3283,333,1911,323
BAKRANI,LARKANA,TALUKA,URBAN,5975,,,,4362,974,74,511,54
DOKRI,LARKANA,TALUKA,OVERALL,34642,,1,4,26036,5528,460,2076,537
DOKRI,LARKANA,TALUKA,RURAL,23532,,1,1,17926,3015,197,2063,329
DOKRI,LARKANA,TALUKA,URBAN,11110,,,3,8110,2513,263,13,208
LARKANA,LARKANA,TALUKA,OVERALL,125011,70,9,44,102251,14203,4407,1358,2669
LARKANA,LARKANA,TALUKA,RURAL,42555,1,,2,35655,4582,395,1002,918
LARKANA,LARKANA,TALUKA,URBAN,82456,69,9,42,66596,9621,4012,356,1751
RATODERO,LARKANA,TALUKA,OVERALL,57273,,,5,44734,8823,1234,1819,658
RATODERO,LARKANA,TALUKA,RURAL,37822,,,3,30480,4848,472,1623,396
RATODERO,LARKANA,TALUKA,URBAN,19451,,,2,14254,3975,762,196,262
MALIR,MALIR,DISTRICT,OVERALL,359754,2893,92,674,289282,29205,14392,5786,17439
MALIR,MALIR,DISTRICT,RURAL,218424,811,79,232,173209,18548,7527,5152,12874
MALIR,MALIR,DISTRICT,URBAN,141330,2082,13,442,116073,10657,6865,634,4565
AIRPORT,MALIR,SUB-DIVISION,OVERALL,29515,655,2,112,24383,2022,1172,85,1084
AIRPORT,MALIR,SUB-DIVISION,RURAL,,,,,,,,,
AIRPORT,MALIR,SUB-DIVISION,URBAN,29515,655,2,112,24383,2022,1172,85,1084
BIN QASIM,MALIR,SUB-DIVISION,OVERALL,47903,345,14,99,36368,3885,2543,2341,2309
