name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
KAKKI,TEHSIL,BANNU,RURAL,"5,000 AND ABOVE",5,80039,41809,38229,1,Rural Localities
KAKKI,TEHSIL,BANNU,RURAL,"2,000 -- 4,999",2,4907,2506,2401,,Rural Localities
KAKKI,TEHSIL,BANNU,RURAL,"1,000 -- 1,999",4,5287,2768,2519,,Rural Localities
KAKKI,TEHSIL,BANNU,RURAL,500 -- 999,1,809,410,399,,Rural Localities
KAKKI,TEHSIL,BANNU,RURAL,200 -- 499,3,885,447,438,,Rural Localities
KAKKI,TEHSIL,BANNU,RURAL,LESS THAN 200,1,94,54,40,,Rural Localities
KAKKI,TEHSIL,BANNU,RURAL,UN-INHABITED,,,,,,Rural Localities
MERYAN,TEHSIL,BANNU,RURAL,OVERALL,36,166473,85062,81410,1,Rural Localities
MERYAN,TEHSIL,BANNU,RURAL,"5,000 AND ABOVE",12,125414,63760,61653,1,Rural Localities
MERYAN,TEHSIL,BANNU,RURAL,"2,000 -- 4,999",8,22083,11358,10725,,Rural Localities
MERYAN,TEHSIL,BANNU,RURAL,"1,000 -- 1,999",8,13417,7056,6361,,Rural Localities
MERYAN,TEHSIL,BANNU,RURAL,500 -- 999,7,5372,2786,2586,,Rural Localities
MERYAN,TEHSIL,BANNU,RURAL,200 -- 499,,,,,,Rural Localities
MERYAN,TEHSIL,BANNU,RURAL,LESS THAN 200,1,187,102,85,,Rural Localities
MERYAN,TEHSIL,BANNU,RURAL,UN-INHABITED,,,,,,Rural Localities
WAZIR,SUB-DIVISION,BANNU,RURAL,OVERALL,160,37262,19398,17864,,Rural Localities
WAZIR,SUB-DIVISION,BANNU,RURAL,"5,000 AND ABOVE",,,,,,Rural Localities
WAZIR,SUB-DIVISION,BANNU,RURAL,"2,000 -- 4,999",1,2040,1130,910,,Rural Localities
WAZIR,SUB-DIVISION,BANNU,RURAL,"1,000 -- 1,999",1,1207,645,562,,Rural Localities
WAZIR,SUB-DIVISION,BANNU,RURAL,500 -- 999,17,11400,5885,5515,,Rural Localities
WAZIR,SUB-DIVISION,BANNU,RURAL,200 -- 499,49,15042,7769,7273,,Rural Localities
WAZIR,SUB-DIVISION,BANNU,RURAL,LESS THAN 200,89,7573,3969,3604,,Rural Localities
WAZIR,SUB-DIVISION,BANNU,RURAL,UN-INHABITED,3,,,,,Rural Localities
BATAGRAM,DISTRICT,BATAGRAM,RURAL,OVERALL,104,554133,281298,272825,10,Rural Localities
