name_admin_unit,admin_unit,part_of_district,region,area_sqkm,all_sexes,male,female,tgend,sex_ratio,pop_den_sqkm,urban_prop,avg_hh_size,pop_2017,avg_annual_gr_rate_17_23
SADDAR,SUB-DIVISION,KARACHI SOUTH,URBAN,,159363,85965,73375,23,117.16,,,5.5,141905,1.96
KARACHI WEST,DISTRICT,KARACHI WEST,OVERALL,370,2679380,1415431,1263752,197,112,7241.57,90.70999999999999,5.7,2077228,4.35
KARACHI WEST,DISTRICT,KARACHI WEST,RURAL,,248952,132585,116360,7,113.94,,,5.7,160904,7.57
KARACHI WEST,DISTRICT,KARACHI WEST,URBAN,,2430428,1282846,1147392,190,111.81,,,5.7,1916324,4.05
MANGHOPIR,SUB-DIVISION,KARACHI WEST,OVERALL,342,1081753,573085,508613,55,112.68,3163.02,76.98999999999999,5.5,711236,7.26
MANGHOPIR,SUB-DIVISION,KARACHI WEST,RURAL,,248952,132585,116360,7,113.94,,,5.7,160904,7.57
MANGHOPIR,SUB-DIVISION,KARACHI WEST,URBAN,,832801,440500,392253,48,112.3,,,5.4,550332,7.17
MOMINABAD,SUB-DIVISION,KARACHI WEST,OVERALL,19,1000708,525476,475118,114,110.6,52668.84,100,5.7,845797,2.85
MOMINABAD,SUB-DIVISION,KARACHI WEST,RURAL,,,,,,,,,,,
MOMINABAD,SUB-DIVISION,KARACHI WEST,URBAN,,1000708,525476,475118,114,110.6,,,5.7,845797,2.85
ORANGI,SUB-DIVISION,KARACHI WEST,OVERALL,9,596919,316870,280021,28,113.16,66324.33,100,6.2,520195,2.33
ORANGI,SUB-DIVISION,KARACHI WEST,RURAL,,,,,,,,,,,
ORANGI,SUB-DIVISION,KARACHI WEST,URBAN,,596919,316870,280021,28,113.16,,,6.2,520195,2.33
KASHMORE,DISTRICT,KASHMORE,OVERALL,2580,1233957,628265,605646,46,103.73,478.28,22.03,5.9,1090336,2.09
KASHMORE,DISTRICT,KASHMORE,RURAL,,962175,492641,469512,22,104.93,,,5.9,836677,2.36
KASHMORE,DISTRICT,KASHMORE,URBAN,,271782,135624,136134,24,99.63,,,5.9,253659,1.16
KANDHKOT,TEHSIL,KASHMORE,OVERALL,654,407592,209395,198186,11,105.66,623.23,34.99,5.8,366111,1.81
KANDHKOT,TEHSIL,KASHMORE,RURAL,,264961,139002,125949,10,110.36,,,6,229942,2.4
KANDHKOT,TEHSIL,KASHMORE,URBAN,,142631,70393,72237,1,97.45,,,5.6,136169,.78
KASHMORE,TEHSIL,KASHMORE,OVERALL,1262,487601,245486,242090,25,101.4,386.37,19.91,5.9,434966,1.93
KASHMORE,TEHSIL,KASHMORE,RURAL,,390515,196434,194072,9,101.22,,,5.9,343986,2.14
KASHMORE,TEHSIL,KASHMORE,URBAN,,97086,49052,48018,16,102.15,,,6,90980,1.09
TANGWANI,TEHSIL,KASHMORE,OVERALL,664,338764,173384,165370,10,104.85,510.19,9.470000000000001,5.8,289259,2.68
