name_admin_unit,part_of_district,admin_unit,region,households,light_elect,light_solar,light_others,fuel_gas,fuel_lpgcng,fuel_firewood,fuel_others,sep_kitchen,no_kitchen
CENTRAL KURRAM F.R,KURRAM,TEHSIL,OVERALL,41111,12915,24618,3578,330,84,39738,959,16665,14821
CENTRAL KURRAM F.R,KURRAM,TEHSIL,RURAL,41111,12915,24618,3578,330,84,39738,959,16665,14821
CENTRAL KURRAM F.R,KURRAM,TEHSIL,URBAN,,,,,,,,,,
LOWER KURRAM,KURRAM,TEHSIL,OVERALL,19319,10427,7932,960,347,270,18283,419,10827,4162
LOWER KURRAM,KURRAM,TEHSIL,RURAL,15376,8704,6026,646,251,78,14745,302,8499,3382
LOWER KURRAM,KURRAM,TEHSIL,URBAN,3943,1723,1906,314,96,192,3538,117,2328,780
UPPER KURRAM,KURRAM,TEHSIL,OVERALL,34118,25235,7278,1605,788,3193,29698,439,17604,11863
UPPER KURRAM,KURRAM,TEHSIL,RURAL,33323,25126,6696,1501,568,2649,29669,437,17209,11633
UPPER KURRAM,KURRAM,TEHSIL,URBAN,795,109,582,104,220,544,29,2,395,230
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,OVERALL,131800,101506,21456,8838,11677,625,112470,7028,77019,18302
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,RURAL,117906,88038,21255,8613,1271,549,109218,6868,66791,16861
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,URBAN,13894,13468,201,225,10406,76,3252,160,10228,1441
BETTANI,LAKKI MARWAT,SUB-DIVISION,OVERALL,5016,35,4032,949,27,51,4790,148,2866,61
BETTANI,LAKKI MARWAT,SUB-DIVISION,RURAL,5016,35,4032,949,27,51,4790,148,2866,61
BETTANI,LAKKI MARWAT,SUB-DIVISION,URBAN,,,,,,,,,,
GHAZNI KHEL,LAKKI MARWAT,TEHSIL,OVERALL,43615,32961,7252,3402,655,266,41433,1261,25503,6041
GHAZNI KHEL,LAKKI MARWAT,TEHSIL,RURAL,43615,32961,7252,3402,655,266,41433,1261,25503,6041
GHAZNI KHEL,LAKKI MARWAT,TEHSIL,URBAN,,,,,,,,,,
LAKKI MARWAT,LAKKI MARWAT,TEHSIL,OVERALL,45072,39502,4106,1464,7970,83,34864,2155,26184,5254
LAKKI MARWAT,LAKKI MARWAT,TEHSIL,RURAL,34902,29598,3954,1350,165,43,32628,2066,18745,4380
LAKKI MARWAT,LAKKI MARWAT,TEHSIL,URBAN,10170,9904,152,114,7805,40,2236,89,7439,874
SARAI NAURANG,LAKKI MARWAT,TEHSIL,OVERALL,38097,29008,6066,3023,3025,225,31383,3464,22466,6946
SARAI NAURANG,LAKKI MARWAT,TEHSIL,RURAL,34373,25444,6017,2912,424,189,30367,3393,19677,6379
SARAI NAURANG,LAKKI MARWAT,TEHSIL,URBAN,3724,3564,49,111,2601,36,1016,71,2789,567
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,OVERALL,46028,39855,2534,3639,167,523,45067,271,35753,7547
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,RURAL,37673,31656,2430,3587,110,144,37167,252,27897,7320
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,URBAN,8355,8199,104,52,57,379,7900,19,7856,227
CHITRAL,LOWER CHITRAL,SUB-DIVISION,OVERALL,30425,28677,1054,694,123,485,29715,102,26233,3296
CHITRAL,LOWER CHITRAL,SUB-DIVISION,RURAL,22070,20478,950,642,66,106,21815,83,18377,3069
CHITRAL,LOWER CHITRAL,SUB-DIVISION,URBAN,8355,8199,104,52,57,379,7900,19,7856,227
DROSH,LOWER CHITRAL,SUB-DIVISION,OVERALL,15603,11178,1480,2945,44,38,15352,169,9520,4251
DROSH,LOWER CHITRAL,SUB-DIVISION,RURAL,15603,11178,1480,2945,44,38,15352,169,9520,4251
DROSH,LOWER CHITRAL,SUB-DIVISION,URBAN,,,,,,,,,,
LOWER DIR,LOWER DIR,DISTRICT,OVERALL,202836,188640,10296,3900,17423,13467,169114,2832,139539,28093
LOWER DIR,LOWER DIR,DISTRICT,RURAL,196763,182612,10265,3886,13304,12702,167941,2816,134807,27525
LOWER DIR,LOWER DIR,DISTRICT,URBAN,6073,6028,31,14,4119,765,1173,16,4732,568
ADENZAI,LOWER DIR,SUB-DIVISION,OVERALL,48639,47933,274,432,2511,3152,42366,610,32190,6585
ADENZAI,LOWER DIR,SUB-DIVISION,RURAL,48639,47933,274,432,2511,3152,42366,610,32190,6585
ADENZAI,LOWER DIR,SUB-DIVISION,URBAN,,,,,,,,,,
LAL QILA,LOWER DIR,SUB-DIVISION,OVERALL,29037,27414,1116,507,129,429,28082,397,23748,2799
LAL QILA,LOWER DIR,SUB-DIVISION,RURAL,29037,27414,1116,507,129,429,28082,397,23748,2799
LAL QILA,LOWER DIR,SUB-DIVISION,URBAN,,,,,,,,,,
SAMARBAGH,LOWER DIR,SUB-DIVISION,OVERALL,53470,43010,8093,2367,309,1565,50283,1313,30883,9044
SAMARBAGH,LOWER DIR,SUB-DIVISION,RURAL,53470,43010,8093,2367,309,1565,50283,1313,30883,9044
SAMARBAGH,LOWER DIR,SUB-DIVISION,URBAN,,,,,,,,,,
TEMERGARA,LOWER DIR,SUB-DIVISION,OVERALL,71690,70283,813,594,14474,8321,48383,512,52718,9665
TEMERGARA,LOWER DIR,SUB-DIVISION,RURAL,65617,64255,782,580,10355,7556,47210,496,47986,9097
TEMERGARA,LOWER DIR,SUB-DIVISION,URBAN,6073,6028,31,14,4119,765,1173,16,4732,568
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,OVERALL,47347,17339,15741,14267,354,56,44780,2157,19330,9773
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,RURAL,47347,17339,15741,14267,354,56,44780,2157,19330,9773
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,URBAN,,,,,,,,,,
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,OVERALL,23752,7955,9829,5968,201,15,22701,835,10019,4687
BANKAND RANOLIA,LOWER KOHISTAN,TEHSIL,RURAL,23752,7955,9829,5968,201,15,22701,835,10019,4687
