name_admin_unit,part_of_district,admin_unit,region,households,drink_wtr_improve,drink_wtr_inside,drink_wtr_outside,drink_wtr_tap,drink_wtr_motor,drink_wtr_well,drink_wtr_filter,drink_wtr_bottle,drink_wtr_other
KALAT,KALAT,SUB-DIVISION,RURAL,14926,7688,2568,12358,2377,3349,4242,4,16,4938
KALAT,KALAT,SUB-DIVISION,URBAN,5198,5068,2982,2216,4707,209,46,,,236
MANGOCHAR,KALAT,SUB-DIVISION,OVERALL,9217,5820,2235,6982,2108,1525,2594,5,46,2939
MANGOCHAR,KALAT,SUB-DIVISION,RURAL,9217,5820,2235,6982,2108,1525,2594,5,46,2939
MANGOCHAR,KALAT,SUB-DIVISION,URBAN,,,,,,,,,,
KECH,KECH,DISTRICT,OVERALL,253475,180457,143109,110366,74406,50726,80734,94,625,46890
KECH,KECH,DISTRICT,RURAL,164440,102170,70429,94011,32411,34632,55400,11,403,41583
KECH,KECH,DISTRICT,URBAN,89035,78287,72680,16355,41995,16094,25334,83,222,5307
BALNIGORE,KECH,SUB-TEHSIL,OVERALL,14389,10200,4425,9964,3208,3696,5871,3,20,1591
BALNIGORE,KECH,SUB-TEHSIL,RURAL,14389,10200,4425,9964,3208,3696,5871,3,20,1591
BALNIGORE,KECH,SUB-TEHSIL,URBAN,,,,,,,,,,
BULAIDA,KECH,SUB-DIVISION,OVERALL,24326,17460,14444,9882,6652,4363,8135,,111,5065
BULAIDA,KECH,SUB-DIVISION,RURAL,9038,5330,2940,6098,1050,2207,2406,,84,3291
BULAIDA,KECH,SUB-DIVISION,URBAN,15288,12130,11504,3784,5602,2156,5729,,27,1774
DASHT,KECH,SUB-DIVISION,OVERALL,21083,11078,6624,14459,7259,2138,3777,5,18,7886
DASHT,KECH,SUB-DIVISION,RURAL,21083,11078,6624,14459,7259,2138,3777,5,18,7886
DASHT,KECH,SUB-DIVISION,URBAN,,,,,,,,,,
HOSHAB,KECH,SUB-TEHSIL,OVERALL,16755,10473,3840,12915,4944,3273,6893,,18,1627
