name_admin_unit,admin_unit,part_of_district,region,rural_localities_by_pop_size,number_of_rural_localities,all_sexes,male,female,tgend,note
DALBANDIN,SUB-DIVISION,CHAGAI,RURAL,"2,000 -- 4,999",3,9435,4800,4635,,Rural Localities
DALBANDIN,SUB-DIVISION,CHAGAI,RURAL,"1,000 -- 1,999",2,2701,1381,1320,,Rural Localities
DALBANDIN,SUB-DIVISION,CHAGAI,RURAL,500 -- 999,4,2858,1457,1401,,Rural Localities
DALBANDIN,SUB-DIVISION,CHAGAI,RURAL,200 -- 499,1,397,197,200,,Rural Localities
DALBANDIN,SUB-DIVISION,CHAGAI,RURAL,LESS THAN 200,,,,,,Rural Localities
DALBANDIN,SUB-DIVISION,CHAGAI,RURAL,UN-INHABITED,,,,,,Rural Localities
NOKUNDI,TEHSIL,CHAGAI,RURAL,OVERALL,6,30625,16627,13997,1,Rural Localities
NOKUNDI,TEHSIL,CHAGAI,RURAL,"5,000 AND ABOVE",1,23433,12757,10676,,Rural Localities
NOKUNDI,TEHSIL,CHAGAI,RURAL,"2,000 -- 4,999",1,3665,2044,1620,1,Rural Localities
NOKUNDI,TEHSIL,CHAGAI,RURAL,"1,000 -- 1,999",1,1464,760,704,,Rural Localities
NOKUNDI,TEHSIL,CHAGAI,RURAL,500 -- 999,2,1801,914,887,,Rural Localities
NOKUNDI,TEHSIL,CHAGAI,RURAL,200 -- 499,1,262,152,110,,Rural Localities
NOKUNDI,TEHSIL,CHAGAI,RURAL,LESS THAN 200,,,,,,Rural Localities
NOKUNDI,TEHSIL,CHAGAI,RURAL,UN-INHABITED,,,,,,Rural Localities
TAFTAN,SUB-DIVISION,CHAGAI,RURAL,OVERALL,2,19259,10707,8552,,Rural Localities
TAFTAN,SUB-DIVISION,CHAGAI,RURAL,"5,000 AND ABOVE",2,19259,10707,8552,,Rural Localities
TAFTAN,SUB-DIVISION,CHAGAI,RURAL,"2,000 -- 4,999",,,,,,Rural Localities
TAFTAN,SUB-DIVISION,CHAGAI,RURAL,"1,000 -- 1,999",,,,,,Rural Localities
TAFTAN,SUB-DIVISION,CHAGAI,RURAL,500 -- 999,,,,,,Rural Localities
TAFTAN,SUB-DIVISION,CHAGAI,RURAL,200 -- 499,,,,,,Rural Localities
TAFTAN,SUB-DIVISION,CHAGAI,RURAL,LESS THAN 200,,,,,,Rural Localities
TAFTAN,SUB-DIVISION,CHAGAI,RURAL,UN-INHABITED,,,,,,Rural Localities
YAK MACHH,SUB-TEHSIL,CHAGAI,RURAL,OVERALL,13,22908,11816,11092,,Rural Localities
YAK MACHH,SUB-TEHSIL,CHAGAI,RURAL,"5,000 AND ABOVE",,,,,,Rural Localities
YAK MACHH,SUB-TEHSIL,CHAGAI,RURAL,"2,000 -- 4,999",4,14444,7363,7081,,Rural Localities
YAK MACHH,SUB-TEHSIL,CHAGAI,RURAL,"1,000 -- 1,999",5,6563,3453,3110,,Rural Localities
YAK MACHH,SUB-TEHSIL,CHAGAI,RURAL,500 -- 999,2,1464,742,722,,Rural Localities
YAK MACHH,SUB-TEHSIL,CHAGAI,RURAL,200 -- 499,1,277,179,98,,Rural Localities
YAK MACHH,SUB-TEHSIL,CHAGAI,RURAL,LESS THAN 200,1,160,79,81,,Rural Localities
YAK MACHH,SUB-TEHSIL,CHAGAI,RURAL,UN-INHABITED,,,,,,Rural Localities
CHAMAN,DISTRICT,CHAMAN,RURAL,OVERALL,38,336079,189666,146401,12,Rural Localities
CHAMAN,DISTRICT,CHAMAN,RURAL,"5,000 AND ABOVE",15,290226,163184,127032,10,Rural Localities
